% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
0                         -3                       2978734.0918302303
0.1                       -3                       2977587.1417138996
0.2                       -3                       2982890.7153344243
0.30000000000000004       -3                       2990928.8473886107
0.4                       -3                       3003024.690019901
0.5                       -3                       3017244.4847986717
0.6000000000000001        -3                       3034587.9652639516
0.7000000000000001        -3                       3053826.4991971143
0.8                       -3                       3073809.2420824426
0.9000000000000001        -3                       3094756.2384110913
1                         -3                       3113747.5952755804
1.1                       -3                       3128772.929828194
1.2000000000000002        -3                       3136332.8058467046
1.3000000000000003        -3                       3129707.394283276
1.4000000000000001        -3                       3102541.836370703
1.5                       -3                       3035064.613643998
1.6                       -3                       2928886.982257144
1.7000000000000002        -3                       2707823.467395027
1.8000000000000003        -3                       2330726.8522469974
1.9000000000000001        -3                       1576321.4304350575
2                         -3                       1.3234889800848443E-23
0                         -2.9                     2971328.8456573132
0.1                       -2.9                     2974272.1501177014
0.2                       -2.9                     2978569.3686410957
0.30000000000000004       -2.9                     2987262.228742351
0.4                       -2.9                     2999562.412173138
0.5                       -2.9                     3013729.1188712157
0.6000000000000001        -2.9                     3031563.7341645537
0.7000000000000001        -2.9                     3051268.4854920823
0.8                       -2.9                     3072575.18230005
0.9000000000000001        -2.9                     3093424.8814957277
1                         -2.9                     3113495.4729198744
1.1                       -2.9                     3128405.279917986
1.2000000000000002        -2.9                     3139886.2397518805
1.3000000000000003        -2.9                     3137850.7703879373
1.4000000000000001        -2.9                     3113467.6182042207
1.5                       -2.9                     3066139.7560361535
1.6                       -2.9                     2973296.3296861076
1.7000000000000002        -2.9                     2806135.9689427475
1.8000000000000003        -2.9                     2527697.9826139826
1.9000000000000001        -2.9                     2153412.0128528504
2                         -2.9                     2093924.8095923727
0                         -2.8                     2959113.6452864967
0.1                       -2.8                     2962792.181294344
0.2                       -2.8                     2968343.726145479
0.30000000000000004       -2.8                     2976780.5762227266
0.4                       -2.8                     2989556.2456111643
0.5                       -2.8                     3004693.021133382
0.6000000000000001        -2.8                     3023353.331484439
0.7000000000000001        -2.8                     3044444.7092805305
0.8                       -2.8                     3066977.039285928
0.9000000000000001        -2.8                     3091733.120233121
1                         -2.8                     3115429.5676037194
1.1                       -2.8                     3137944.2264231546
1.2000000000000002        -2.8                     3155762.6356636886
1.3000000000000003        -2.8                     3170618.7845933256
1.4000000000000001        -2.8                     3163922.752713603
1.5                       -2.8                     3144449.480262235
1.6                       -2.8                     3099860.6486525955
1.7000000000000002        -2.8                     3056901.907774334
1.8000000000000003        -2.8                     2962886.6687279055
1.9000000000000001        -2.8                     3051838.9471957274
2                         -2.8                     3599160.379339347
0                         -2.7                     2942263.4955241308
0.1                       -2.7                     2945439.334145305
0.2                       -2.7                     2950092.1977612223
0.30000000000000004       -2.7                     2959624.046137053
0.4                       -2.7                     2973199.7185814795
0.5                       -2.7                     2988866.841746512
0.6000000000000001        -2.7                     3009496.369501975
0.7000000000000001        -2.7                     3032774.9324630816
0.8                       -2.7                     3060240.282482801
0.9000000000000001        -2.7                     3086750.4798778263
1                         -2.7                     3116838.8100516363
1.1                       -2.7                     3147517.2648755484
1.2000000000000002        -2.7                     3178411.4762575696
1.3000000000000003        -2.7                     3201850.9172516754
1.4000000000000001        -2.7                     3230752.775216874
1.5                       -2.7                     3251486.4134560144
1.6                       -2.7                     3289667.0128792482
1.7000000000000002        -2.7                     3303704.2676423104
1.8000000000000003        -2.7                     3399175.976865
1.9000000000000001        -2.7                     3668676.166762724
2                         -2.7                     4272765.280733957
0                         -2.6000000000000005      2920643.7990601454
0.1                       -2.6000000000000005      2919312.412196335
0.2                       -2.6000000000000005      2925489.1649297057
0.30000000000000004       -2.6000000000000005      2934926.9992795577
0.4                       -2.6000000000000005      2949415.6957843537
0.5                       -2.6000000000000005      2966881.489478269
0.6000000000000001        -2.6000000000000005      2988874.1991243414
0.7000000000000001        -2.6000000000000005      3014698.523547282
0.8                       -2.6000000000000005      3043573.61529474
0.9000000000000001        -2.6000000000000005      3077746.483766758
1                         -2.6000000000000005      3113129.929297828
1.1                       -2.6000000000000005      3154380.370866376
1.2000000000000002        -2.6000000000000005      3197164.693000853
1.3000000000000003        -2.6000000000000005      3247454.5257832827
1.4000000000000001        -2.6000000000000005      3304965.562028748
1.5                       -2.6000000000000005      3368798.4448450664
1.6                       -2.6000000000000005      3433379.8267435413
1.7000000000000002        -2.6000000000000005      3545438.192928478
1.8000000000000003        -2.6000000000000005      3732208.6591943027
1.9000000000000001        -2.6000000000000005      4040888.79358071
2                         -2.6000000000000005      4526009.321698176
0                         -2.5                     2883234.6229713666
0.1                       -2.5                     2886752.703013316
0.2                       -2.5                     2891946.6530694077
0.30000000000000004       -2.5                     2902748.9300584286
0.4                       -2.5                     2918252.7767002797
0.5                       -2.5                     2936152.879976343
0.6000000000000001        -2.5                     2961031.016129353
0.7000000000000001        -2.5                     2989684.341299262
0.8                       -2.5                     3021122.956121291
0.9000000000000001        -2.5                     3061383.6466146596
1                         -2.5                     3105835.7628661976
1.1                       -2.5                     3155531.183545808
1.2000000000000002        -2.5                     3219220.1201363183
1.3000000000000003        -2.5                     3279142.1453113225
1.4000000000000001        -2.5                     3360835.8391423
1.5                       -2.5                     3446576.521816312
1.6                       -2.5                     3573879.156395869
1.7000000000000002        -2.5                     3737487.1115803537
1.8000000000000003        -2.5                     3956083.4411897534
1.9000000000000001        -2.5                     4254531.002967936
2                         -2.5                     4630244.200055223
0                         -2.4                     2840085.4327026536
0.1                       -2.4                     2844561.4233364468
0.2                       -2.4                     2851432.1942570372
0.30000000000000004       -2.4                     2861998.671210217
0.4                       -2.4                     2878378.2952383626
0.5                       -2.4                     2898429.35848409
0.6000000000000001        -2.4                     2924176.9368574657
0.7000000000000001        -2.4                     2955157.1002613944
0.8                       -2.4                     2991214.901824131
0.9000000000000001        -2.4                     3035572.609843354
1                         -2.4                     3083856.8266718
1.1                       -2.4                     3145546.6233881796
1.2000000000000002        -2.4                     3216777.6581020313
1.3000000000000003        -2.4                     3300060.943992172
1.4000000000000001        -2.4                     3396771.7586952993
