% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:42
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0.1309
0                         -3.2500000000000004      2982467.653952286
0.1                       -3.2500000000000004      2985038.90984771
0.2                       -3.2500000000000004      2990698.191451726
0.30000000000000004       -3.2500000000000004      2999656.601680307
0.4                       -3.2500000000000004      3013653.8113492825
0.5                       -3.2500000000000004      3029048.2233890095
0.6000000000000001        -3.2500000000000004      3048853.474567642
0.7000000000000001        -3.2500000000000004      3073388.904827121
0.8                       -3.2500000000000004      3097664.962879395
0.9000000000000001        -3.2500000000000004      3124761.605487921
1                         -3.2500000000000004      3157775.864473318
1.1                       -3.2500000000000004      3187355.2782576093
1.2000000000000002        -3.2500000000000004      3215989.724851201
1.3000000000000003        -3.2500000000000004      3246780.456674469
1.4000000000000001        -3.2500000000000004      3273976.5977219185
1.5                       -3.2500000000000004      3301298.9096604246
1.6                       -3.2500000000000004      3322247.2923832578
1.7000000000000002        -3.2500000000000004      3346157.2265354358
1.8000000000000003        -3.2500000000000004      3469870.013266646
1.9000000000000001        -3.2500000000000004      3779921.490030635
2                         -3.2500000000000004      4553868.925395003
0                         -3.15                    2975256.8221782832
0.1                       -3.15                    2977586.695015457
0.2                       -3.15                    2983261.0772079974
0.30000000000000004       -3.15                    2991685.676780314
0.4                       -3.15                    3003861.1772994804
0.5                       -3.15                    3019475.638973638
0.6000000000000001        -3.15                    3038162.0577348624
0.7000000000000001        -3.15                    3058367.7402573572
0.8                       -3.15                    3081251.600944385
0.9000000000000001        -3.15                    3106531.577067817
1                         -3.15                    3127935.9821846774
1.1                       -3.15                    3151786.113503101
1.2000000000000002        -3.15                    3173587.811735613
1.3000000000000003        -3.15                    3183129.2927986477
1.4000000000000001        -3.15                    3182070.2491535386
1.5                       -3.15                    3159893.380636353
1.6                       -3.15                    3121678.2681791126
1.7000000000000002        -3.15                    3038185.208512128
1.8000000000000003        -3.15                    2975795.8392342553
1.9000000000000001        -3.15                    2968327.3610583683
2                         -3.15                    3628884.0615015677
0                         -3.05                    2960854.2302653263
0.1                       -3.05                    2963189.833987147
0.2                       -3.05                    2968488.328244565
0.30000000000000004       -3.05                    2976681.0659463853
0.4                       -3.05                    2989210.8413065197
0.5                       -3.05                    3003179.145528357
0.6000000000000001        -3.05                    3020533.2426265175
0.7000000000000001        -3.05                    3040863.18875591
0.8                       -3.05                    3060870.163123854
0.9000000000000001        -3.05                    3081474.421341689
1                         -3.05                    3102913.7341195815
1.1                       -3.05                    3118666.7150109005
1.2000000000000002        -3.05                    3127384.9851586777
1.3000000000000003        -3.05                    3127883.5036375658
1.4000000000000001        -3.05                    3113157.399429049
1.5                       -3.05                    3059963.6680284245
1.6                       -3.05                    2959933.3694084818
1.7000000000000002        -3.05                    2787615.3793633515
1.8000000000000003        -3.05                    2478560.175699245
1.9000000000000001        -3.05                    1970638.7742674765
2                         -3.05                    1702521.5578592645
0                         -2.95                    2939554.7804456227
0.1                       -2.95                    2941834.774833278
0.2                       -2.95                    2947171.8854501736
0.30000000000000004       -2.95                    2955242.2281543203
0.4                       -2.95                    2967373.7994395583
0.5                       -2.95                    2981438.7932785554
0.6000000000000001        -2.95                    2998584.3642186755
0.7000000000000001        -2.95                    3017884.9277868792
0.8                       -2.95                    3037560.4054942164
0.9000000000000001        -2.95                    3057629.853996623
1                         -2.95                    3076676.6229738155
1.1                       -2.95                    3091696.029083667
1.2000000000000002        -2.95                    3096187.929423157
1.3000000000000003        -2.95                    3091230.25340266
1.4000000000000001        -2.95                    3064065.234570048
1.5                       -2.95                    3007346.638685242
1.6                       -2.95                    2887014.7205904434
1.7000000000000002        -2.95                    2672917.7529318226
1.8000000000000003        -2.95                    2302410.568198973
1.9000000000000001        -2.95                    1622360.9173265619
2                         -2.95                    525428.018044692
0                         -2.85                    2911451.570065548
0.1                       -2.85                    2913729.2939955126
0.2                       -2.85                    2919160.5526269767
0.30000000000000004       -2.85                    2927383.6043377784
0.4                       -2.85                    2939303.757554754
0.5                       -2.85                    2954039.7064495045
0.6000000000000001        -2.85                    2971670.7366343713
0.7000000000000001        -2.85                    2991106.038978412
0.8                       -2.85                    3011948.696081037
0.9000000000000001        -2.85                    3033493.290687091
1                         -2.85                    3052576.69180936
1.1                       -2.85                    3069940.599442882
1.2000000000000002        -2.85                    3079215.6518467204
1.3000000000000003        -2.85                    3077893.573346682
1.4000000000000001        -2.85                    3060483.4887261186
1.5                       -2.85                    3019752.9369427315
1.6                       -2.85                    2905668.7234237655
1.7000000000000002        -2.85                    2770726.548449886
1.8000000000000003        -2.85                    2556327.533836865
1.9000000000000001        -2.85                    2245161.367555648
2                         -2.85                    2476611.9238164765
0                         -2.75                    2876507.7751931185
0.1                       -2.75                    2878946.05645703
0.2                       -2.75                    2884441.212325885
