%% Here I collect a list of initial velocities, pin pairs numbers, and final velocities.
vinit	vfinal	  N 	 time
1000	411	  423	 2.995
980	391	  411	 2.994
950	362	  393	 2.994
900	312	  363	 2.993
850	262	  333	 2.991
801	211	  304	 2.998
781	191	  292	 2.998
761	171	  280	 2.997
741	151	  268	 2.996
721	131	  256	 2.995
701	111	  244	 2.993
681	91	  232	 2.991
660.7	68	  220	 3.001
650.7	57	  214	 3.001
640.7	46	  208	 3.002
630.7	35	  202	 3.003
620.7	22	  196	 3.005
610.8	8	  190	 3.002

%% Here I extend to VSF
1000	410	 423	2.996
950	359	 393	2.997
900	306	 363	3.008	
851	257	 333	3.004
801	206	 303	3.004
781	187	 291	3.002
761	168	 279	2.998
740.5	147	 267	2.999
720.5	128	 255	2.993
700	105	 243	3.004
680.5	87	 231	2.994
660.5	63	 219	3.006
650.7	53	 213	3.003
640.7	41	 207	3.009
631	33	 201	2.992
621	20	 195	2.994
612.7	6	 190	2.998

%% And now to XSF
1000	412	 423	2.995	
950	359	 393	3.004
900	310	 363	3.001
848	261	 333	2.998
796	208	 303	3.005
779	193	 292	2.994
760	173	 280	2.993
740	149	 268	3.008
721	131	 256	2.996
701	110	 244	2.999
680.5	88	 232	3.006
660	68	 220	3.003
649.5	56	 214	3.007
639.5	48	 208	2.994
629.3	35	 202	2.999
619.4	22	 196	2.999
609.7	8	 190	2.996
